rank,proc_id,technology,category,symptoms_collapsed,steps,specific_steps,generic_only,action,representative_title,first_command
85,p-b0d31031,Kubernetes,Networking,1,3,3,False,VERIFY on cluster,Service labels or selectors look wrong,kubectl get service <x> -n <x> --show-labels
86,p-ecf2321a,Kubernetes,Networking,1,3,3,False,VERIFY on cluster,Ingress not found or wrong namespace,kubectl get ingresses -n <x>
87,p-4583dd5a,Kubernetes,Networking,1,3,3,False,VERIFY on cluster,Ingress status changed unexpectedly,kubectl get ingress <x> -n <x> -o yaml
88,p-72efcff8,Kubernetes,Networking,1,3,3,False,VERIFY on cluster,Ingress labels or selectors look wrong,kubectl get ingress <x> -n <x> --show-labels
89,p-26f74d16,Kubernetes,Networking,1,3,3,False,VERIFY on cluster,NetworkPolicy not found or wrong namespace,kubectl get networkpolicies -n <x>
90,p-99409d3f,Kubernetes,Networking,1,3,3,False,VERIFY on cluster,NetworkPolicy status changed unexpectedly,kubectl get networkpolicy <x> -n <x> -o yaml
91,p-a1ec0f9c,Kubernetes,Networking,1,3,3,False,VERIFY on cluster,NetworkPolicy labels or selectors look wrong,kubectl get networkpolicy <x> -n <x> --show-labels
92,p-77b8e845,Kubernetes,Storage,1,3,3,False,VERIFY on cluster,PersistentVolumeClaim not found or wrong namespace,kubectl get persistentvolumeclaims -n <x>
93,p-62a4a022,Kubernetes,Storage,1,3,3,False,VERIFY on cluster,PersistentVolumeClaim status changed unexpectedly,kubectl get pvc <x> -n <x> -o yaml
94,p-01769783,Kubernetes,Storage,1,3,3,False,VERIFY on cluster,PersistentVolumeClaim labels or selectors look wrong,kubectl get pvc <x> -n <x> --show-labels
95,p-84f64ff4,Kubernetes,Batch,1,3,3,False,VERIFY on cluster,Job not found or wrong namespace,kubectl get jobs -n <x>
96,p-550e9343,Kubernetes,Batch,1,3,3,False,VERIFY on cluster,Job status changed unexpectedly,kubectl get job <x> -n <x> -o yaml
97,p-1e1361ba,Kubernetes,Batch,1,3,3,False,VERIFY on cluster,Job labels or selectors look wrong,kubectl get job <x> -n <x> --show-labels
98,p-a1efe6fd,Kubernetes,Batch,1,3,3,False,VERIFY on cluster,CronJob not found or wrong namespace,kubectl get cronjobs -n <x>
99,p-b0771c9b,Kubernetes,Batch,1,3,3,False,VERIFY on cluster,CronJob status changed unexpectedly,kubectl get cronjob <x> -n <x> -o yaml
100,p-fbd96a8d,Kubernetes,Batch,1,3,3,False,VERIFY on cluster,CronJob labels or selectors look wrong,kubectl get cronjob <x> -n <x> --show-labels
101,p-a1d5fcf1,Kubernetes,Autoscaling,1,3,3,False,VERIFY on cluster,HorizontalPodAutoscaler not found or wrong namespace,kubectl get horizontalpodautoscalers -n <x>
102,p-30661e4f,Kubernetes,Autoscaling,1,3,3,False,VERIFY on cluster,HorizontalPodAutoscaler status changed unexpectedly,kubectl get hpa <x> -n <x> -o yaml
103,p-a94f9a08,Kubernetes,Autoscaling,1,3,3,False,VERIFY on cluster,HorizontalPodAutoscaler labels or selectors look wrong,kubectl get hpa <x> -n <x> --show-labels
104,p-3b4f1c36,Kubernetes,Availability,1,3,3,False,VERIFY on cluster,PodDisruptionBudget not found or wrong namespace,kubectl get poddisruptionbudgets -n <x>
105,p-8ee02452,Kubernetes,Availability,1,3,3,False,VERIFY on cluster,PodDisruptionBudget status changed unexpectedly,kubectl get pdb <x> -n <x> -o yaml
106,p-ec301e06,Kubernetes,Availability,1,3,3,False,VERIFY on cluster,PodDisruptionBudget labels or selectors look wrong,kubectl get pdb <x> -n <x> --show-labels
107,p-423f2817,Kubernetes,Configuration,1,3,3,False,VERIFY on cluster,ConfigMap not found or wrong namespace,kubectl get configmaps -n <x>
108,p-f1433ec9,Kubernetes,Configuration,1,3,3,False,VERIFY on cluster,ConfigMap status changed unexpectedly,kubectl get configmap <x> -n <x> -o yaml
109,p-48bd167e,Kubernetes,Configuration,1,3,3,False,VERIFY on cluster,ConfigMap labels or selectors look wrong,kubectl get configmap <x> -n <x> --show-labels
110,p-b2f920c0,Kubernetes,Configuration,1,3,3,False,VERIFY on cluster,Secret not found or wrong namespace,kubectl get secrets -n <x>
111,p-6bce4bcd,Kubernetes,Configuration,1,3,3,False,VERIFY on cluster,Secret status changed unexpectedly,kubectl get secret <x> -n <x> -o yaml
112,p-6043e900,Kubernetes,Configuration,1,3,3,False,VERIFY on cluster,Secret labels or selectors look wrong,kubectl get secret <x> -n <x> --show-labels
113,p-3d686d50,Kubernetes,RBAC,1,3,3,False,VERIFY on cluster,ServiceAccount not found or wrong namespace,kubectl get serviceaccounts -n <x>
114,p-b1fa8305,Kubernetes,RBAC,1,3,3,False,VERIFY on cluster,ServiceAccount status changed unexpectedly,kubectl get serviceaccount <x> -n <x> -o yaml
115,p-c372fa07,Kubernetes,RBAC,1,3,3,False,VERIFY on cluster,ServiceAccount labels or selectors look wrong,kubectl get serviceaccount <x> -n <x> --show-labels
116,p-8bb8b99e,Kubernetes,Workloads,1,3,3,False,VERIFY on cluster,Deployment has fewer ready replicas than desired,kubectl get deployment <x> -n <x>
117,p-c8784f76,Kubernetes,Workloads,1,3,3,False,VERIFY on cluster,StatefulSet rollout is stuck,kubectl get statefulset <x> -n <x>
118,p-47950fc9,Kubernetes,Workloads,1,3,3,False,VERIFY on cluster,DaemonSet missing pods on some nodes,kubectl get daemonset <x> -n <x>
119,p-f599b365,Kubernetes,Storage,1,3,3,False,VERIFY on cluster,PVC expansion not taking effect,kubectl describe pvc <x> -n <x>
120,p-70ed74f4,Kubernetes,Networking,1,3,3,False,VERIFY on cluster,LoadBalancer Service has no external address,kubectl get service <x> -n <x>
121,p-765257aa,Kubernetes,Networking,1,3,3,False,VERIFY on cluster,One pod receives traffic while another does not,kubectl get endpointslices -n <x> -l kubernetes.io/service-name=<x> -o yaml
122,p-c2a7c990,Kubernetes,Nodes,1,3,3,False,VERIFY on cluster,Node DiskPressure,kubectl describe node <x>
123,p-27267448,Kubernetes,Nodes,1,3,3,False,VERIFY on cluster,Node MemoryPressure,kubectl describe node <x>
124,p-78b640bf,Kubernetes,Availability,1,3,3,False,VERIFY on cluster,PDB blocks node drain,kubectl get pdb -n <x>
125,p-fd2d9945,Kubernetes,Configuration,1,3,3,False,VERIFY on cluster,ResourceQuota exceeded,kubectl describe resourcequota -n <x>
126,p-9cf24991,Kubernetes,Configuration,1,3,3,False,VERIFY on cluster,Default requests or limits appear unexpectedly,kubectl get limitrange -n <x>
127,p-0c037e64,Kubernetes,RBAC,1,3,3,False,VERIFY on cluster,ServiceAccount not found,kubectl get serviceaccounts -n <x>
128,p-d63144f2,Kubernetes,RBAC,1,3,3,False,VERIFY on cluster,Pod uses unexpected ServiceAccount,kubectl get pod <x> -n <x> -o jsonpath='{.spec.serviceaccountname}'
129,p-b841effd,Kubernetes,RBAC,1,3,3,False,VERIFY on cluster,RoleBinding points to wrong subject,kubectl describe rolebinding <x> -n <x>
130,p-c350b893,Kubernetes,Namespaces,1,3,3,False,VERIFY on cluster,Namespace stuck Terminating,kubectl get namespace <x> -o yaml
131,p-98dc4026,Kubernetes,Context & API,1,3,3,False,VERIFY on cluster,kubectl command says resource type not found,kubectl api-resources
132,p-2a64d951,Kubernetes,Context & API,1,3,3,False,VERIFY on cluster,kubectl cannot connect to API server,kubectl config current-context
133,p-11e7e049,Kubernetes,Autoscaling,1,3,3,False,VERIFY on cluster,Metrics unavailable for kubectl top,kubectl top nodes
134,p-535a6b2b,Kubernetes,Workloads,1,3,3,False,VERIFY on cluster,Deployment image update did not roll out,kubectl get deployment <x> -n <x> -o jsonpath='{.spec.template.spec.containers[*].image}'
135,p-2083b5ca,Kubernetes,Batch,1,3,3,False,VERIFY on cluster,Job pod succeeded but Job not complete,kubectl get job <x> -n <x>
136,p-d3df9943,Kubernetes,Networking,1,3,3,False,VERIFY on cluster,Ingress has no address,kubectl get ingress <x> -n <x>
137,p-8d7dd78a,Kubernetes,Networking,1,3,3,False,VERIFY on cluster,Ingress host does not match request,kubectl get ingress <x> -n <x> -o yaml
138,p-7aeab218,Kubernetes,Networking,1,3,3,False,VERIFY on cluster,Service targetPort mismatch,kubectl get service <x> -n <x> -o yaml
139,p-9cc15827,Kubernetes,Operations,1,3,3,False,VERIFY on cluster,Need a safe first look at a namespace,"kubectl get pods,deployments,statefulsets,daemonsets -n <x>"
140,p-ec4e026b,Kubernetes,Workloads,1,3,3,False,VERIFY on cluster,Need to identify newest pods after rollout,kubectl get pods -n <x> --sort-by=.metadata.creationtimestamp
141,p-aa1918ff,Kubernetes,Pods,1,4,3,False,VERIFY on cluster,Init container is failing,"kubectl get pod <x> -n <x> -o jsonpath='{range .status.initcontainerstatuses[*]}{.name}{"" state=""}{.state}{"" last=""}{.laststate}{""\n""}{end}'"
142,p-4297edd5,Kubernetes,Storage,1,4,3,False,VERIFY on cluster,Pod cannot mount a volume,kubectl describe pod <x> -n <x>
143,p-2c156447,Kubernetes,Networking,1,4,4,False,VERIFY on cluster,Service has no ready backends / no endpoints,kubectl describe service <x> -n <x>
144,p-ca208016,Kubernetes,Networking,1,4,4,False,VERIFY on cluster,Kubernetes DNS resolution fails,kubectl get pods -n kube-system -l k8s-app=kube-dns
145,p-6845faa2,Kubernetes,Workloads,1,4,4,False,VERIFY on cluster,Deployment rollout stuck,kubectl rollout status deployment/<x> -n <x> --timeout=2m
146,p-89c38603,Kubernetes,Networking,1,4,4,False,VERIFY on cluster,Ingress returns 404 / 502 / 503,kubectl describe ingress <x> -n <x>
147,p-efd3841d,Kubernetes,Configuration,1,4,4,False,VERIFY on cluster,Secret or ConfigMap change not reflected,kubectl get pod <x> -n <x> -o yaml
148,p-20d1d77a,Kubernetes,Networking,1,4,4,False,VERIFY on cluster,Service resolves in DNS but connection fails,kubectl describe service <x> -n <x>
149,p-1b9f74bd,Kubernetes,Networking,1,4,4,False,VERIFY on cluster,NetworkPolicy may be blocking traffic,kubectl get pod <x> -n <x> -o wide --show-labels
150,p-230f8e5c,Kubernetes,Workloads,1,4,4,False,VERIFY on cluster,Deployment exceeded progress deadline,"kubectl get deployment <x> -n <x> -o jsonpath='{range .status.conditions[*]}{.type}{""=""}{.status}{"" reason=""}{.reason}{"" message=""}{.message}{""\n""}{end}'"
151,p-5cdaf288,Kubernetes,Nodes,1,4,4,False,VERIFY on cluster,Node has DiskPressure,kubectl describe node <x>
152,p-d7fca6b2,Kubernetes,Security,1,4,4,False,VERIFY on cluster,RBAC works for one user but not another,kubectl auth whoami
153,p-28bc6b51,Kubernetes,Networking,1,4,4,False,VERIFY on cluster,Service exists but connection is refused,kubectl get service <x> -n <x> -o yaml
154,p-bb57a40c,Kubernetes,Helm-Deployed Workloads,1,4,4,False,VERIFY on cluster,Helm release deployed but Pods fail,kubectl get pods -n <x> -o wide
